Date,CLEBI
2022-03-29,196.958251953125
2022-03-30,194.2330322265625
2022-03-31,191.83816528320312
2022-04-01,190.0213623046875
2022-04-04,189.36070251464844
2022-04-05,189.36070251464844
2022-04-06,188.78262329101562
2022-04-07,189.85618591308594
2022-04-08,189.11293029785156
2022-04-11,193.40721130371094
2022-04-12,212.73143005371094
2022-04-13,206.20745849609375
2022-04-14,213.80499267578125
2022-04-15,218.0166778564453
2022-04-18,228.25686645507812
2022-04-19,226.85296630859375
2022-04-20,229.82591247558594
2022-04-21,228.83493041992188
2022-04-22,219.25540161132812
2022-04-25,223.46710205078125
2022-04-26,216.86053466796875
2022-04-27,215.7162628173828
2022-04-28,223.00570678710938
2022-04-29,223.68377685546875
2022-05-05,230.88844299316406
2022-05-06,233.43125915527344
2022-05-09,228.93894958496094
2022-05-10,229.44752502441406
2022-05-11,227.49801635742188
2022-05-12,215.7162628173828
2022-05-13,228.00657653808594
2022-05-16,223.2599639892578
2022-05-17,225.97232055664062
2022-05-18,222.24285888671875
2022-05-20,215.54673767089844
2022-05-23,211.39346313476562
2022-05-24,209.52871704101562
2022-05-25,208.17254638671875
2022-05-26,215.29244995117188
2022-05-27,214.69912719726562
2022-05-30,225.03994750976562
2022-05-31,219.19146728515625
2022-06-01,219.61526489257812
2022-06-02,218.5133514404297
2022-06-03,216.22482299804688
2022-06-06,221.73428344726562
2022-06-07,226.39613342285156
2022-06-08,214.44485473632812
2022-06-09,226.14183044433594
2022-06-10,222.83616638183594
2022-06-13,217.32672119140625
2022-06-14,219.53048706054688
2022-06-15,224.02281188964844
2022-06-16,219.95431518554688
2022-06-17,227.24374389648438
2022-06-20,249.95962524414062
2022-06-21,256.3166809082031
2022-06-22,271.4888610839844
2022-06-23,278.7783203125
2022-06-24,289.0343322753906
2022-06-27,285.55914306640625
2022-06-28,304.4608459472656
2022-06-29,317.4292297363281
2022-06-30,307.6817626953125
2022-07-01,307.0036926269531
2022-07-04,290.13623046875
2022-07-05,292.50958251953125
2022-07-06,282.3382568359375
2022-07-07,282.8468322753906
2022-07-08,283.1011047363281
2022-07-13,277.84588623046875
2022-07-14,268.3527526855469
2022-07-18,271.2345886230469
